GEOID,COUNTY
48201313100,Harris
48201313200,Harris
48201313300,Harris
48201313400,Harris
48201313500,Harris
48201313600,Harris
48201313700,Harris
48201313800,Harris
48201313900,Harris
48201314000,Harris
48201314100,Harris
48201314200,Harris
48201314300,Harris
48201320100,Harris
48201320200,Harris
48201320300,Harris
48201320400,Harris
48201320500,Harris
48201320600,Harris
48201320700,Harris
48201320800,Harris
48201320900,Harris
48201321000,Harris
48201321100,Harris
48201321200,Harris
48201321300,Harris
48201321400,Harris
48201321500,Harris
48201321600,Harris
48201321700,Harris
48201321800,Harris
48201321900,Harris
48201322000,Harris
48201322100,Harris
48201322200,Harris
48201322300,Harris
48201322400,Harris
48201322500,Harris
48201322600,Harris
48201322700,Harris
48201322800,Harris
48201322900,Harris
48201323000,Harris
48201323100,Harris
48201323200,Harris
48201323300,Harris
48201323400,Harris
48201323500,Harris
48201323600,Harris
48201323700,Harris
48201323800,Harris
48201323900,Harris
48201324000,Harris
48201330100,Harris
48201330200,Harris
48201330300,Harris
48201330400,Harris
48201330500,Harris
48201330600,Harris
48201330700,Harris
48201330800,Harris
48201330900,Harris
48201331000,Harris
48201331100,Harris
48201331200,Harris
48201331300,Harris
48201331400,Harris
48201331500,Harris
48201331600,Harris
48201331700,Harris
48201331800,Harris
48201331900,Harris
48201332000,Harris
48201332100,Harris
48201332200,Harris
48201332300,Harris
48201332400,Harris
48201332500,Harris
48201332600,Harris
48201332700,Harris
48201332800,Harris
48201332900,Harris
48201333000,Harris
48201333100,Harris
48201333200,Harris
48201333300,Harris
48201333400,Harris
48201333500,Harris
48201333600,Harris
48201333700,Harris
48201333800,Harris
48201333900,Harris
48201334000,Harris
48201340100,Harris
48201340200,Harris
48201340300,Harris
48201340400,Harris
48201340500,Harris
48201340600,Harris
48201340700,Harris
48201340800,Harris
48201340900,Harris
48201341000,Harris
48201341100,Harris
48201341200,Harris
48201341300,Harris
48201341400,Harris
48201341500,Harris
48201341600,Harris
48201341700,Harris
48201341800,Harris
48201341900,Harris
48201342000,Harris
48201342100,Harris
48201342200,Harris
48201342300,Harris
48201342400,Harris
48201342500,Harris
48201342600,Harris
48201342700,Harris
48201342800,Harris
48201342900,Harris
48201343000,Harris
48201343100,Harris
48201343200,Harris
48201343300,Harris
48201343400,Harris
48201343500,Harris
48201350100,Harris
48201350200,Harris
48201350300,Harris
48201350400,Harris
48201350500,Harris
48201350600,Harris
48201350700,Harris
48201350800,Harris
48201410100,Harris
48201410200,Harris
48201410300,Harris
48201410400,Harris
48201410500,Harris
48201410600,Harris
48201410700,Harris
48201410800,Harris
48201410900,Harris
48201411000,Harris
48201411100,Harris
48201411200,Harris
48201411300,Harris
48201411400,Harris
48201411500,Harris
48201411600,Harris
48201411700,Harris
48201411800,Harris
48201411900,Harris
48201412000,Harris
48201412100,Harris
48201412200,Harris
48201412300,Harris
48201412400,Harris
48201412500,Harris
48201412600,Harris
48201412700,Harris
48201412800,Harris
48201412900,Harris
48201413000,Harris
48201413100,Harris
48201413200,Harris
48201413300,Harris
48201420100,Harris
48201420200,Harris
48201420300,Harris
48201420400,Harris
48201420500,Harris
48201420600,Harris
48201420700,Harris
48201420800,Harris
48201420900,Harris
48201421000,Harris
48201421100,Harris
48201421200,Harris
48201421300,Harris
48201421400,Harris
48201421500,Harris
48201421600,Harris
48201421700,Harris
48201421800,Harris
48201421900,Harris
48201422000,Harris
48201422100,Harris
48201422200,Harris
48201422300,Harris
48201422400,Harris
48201422500,Harris
48201422600,Harris
48201422700,Harris
48201422800,Harris
48201422900,Harris
48201423000,Harris
48201423100,Harris
48201423200,Harris
48201423300,Harris
48201423400,Harris
48201423500,Harris
48201423600,Harris
48201430100,Harris
48201430200,Harris
48201430300,Harris
48201430400,Harris
48201430500,Harris
48201430600,Harris
48201430700,Harris
48201430800,Harris
48201430900,Harris
48201431000,Harris
48201431100,Harris
48201431200,Harris
48201431300,Harris
48201431400,Harris
48201431500,Harris
48201431600,Harris
48201431700,Harris
48201431800,Harris
48201431900,Harris
48201432000,Harris
48201432100,Harris
48201432200,Harris
48201432300,Harris
48201432400,Harris
48201432500,Harris
48201432600,Harris
48201432700,Harris
48201432800,Harris
48201432900,Harris
48201433000,Harris
48201433100,Harris
48201433200,Harris
48201433300,Harris
48201433400,Harris
48201433500,Harris
48201433600,Harris
48201440100,Harris
48201450100,Harris
48201450200,Harris
48201450300,Harris
48201450400,Harris
48201450500,Harris
48201450600,Harris
48201450700,Harris
48201450800,Harris
48201450900,Harris
48201451000,Harris
48201451100,Harris
48201451200,Harris
48201451300,Harris
48201451400,Harris
48201451500,Harris
48201451600,Harris
48201451700,Harris
48201451800,Harris
48201451900,Harris
48201452000,Harris
48201452100,Harris
48201452200,Harris
48201452300,Harris
48201452400,Harris
48201452500,Harris
48201452600,Harris
48201452700,Harris
48201452800,Harris
48201452900,Harris
48201453000,Harris
48201453100,Harris
48201453200,Harris
48201453300,Harris
48201453400,Harris
48201453500,Harris
48201453600,Harris
48201453700,Harris
48201453800,Harris
48201453900,Harris
48201454000,Harris
48201454100,Harris
48201454200,Harris
48201454300,Harris
48201454400,Harris
48201454500,Harris
48201454600,Harris
48201454700,Harris
48201454800,Harris
48201454900,Harris
48201455000,Harris
48201455100,Harris
48201455200,Harris
48201455300,Harris
48201510100,Harris
48201510200,Harris
